2025-04-16 12:27:47 - INFO - [info] - Logger created
2025-04-16 12:27:47 - INFO - [info] - Connecting to vehicle...
2025-04-16 12:28:01 - INFO - [info] - Connected to vehicle
2025-04-16 12:28:01 - INFO - [info] - Sufficient number of satellites - Counted: 4, Required: 3
2025-04-16 12:28:01 - INFO - [info] - Sufficient battery level - Measured: 100, Required: 25
2025-04-16 12:28:01 - INFO - [info] - Vehicle health validated
2025-04-16 12:28:01 - INFO - [info] - Current waypoint: 5, 5
2025-04-16 12:28:01 - INFO - [info] - Pixhawk connected, running main
2025-04-16 12:28:01 - INFO - [info] - Waiting to switch to guided mode
2025-04-16 12:32:01 - INFO - [info] - Switched to guided mode
2025-04-16 12:32:03 - INFO - [info] - Mission: [[5, 5]]
2025-04-16 12:32:03 - INFO - [info] - Beginning mission
2025-04-16 12:32:03 - INFO - [info] - Current position: 4.165376663208008, 1.2599263191223145
2025-04-16 12:32:03 - INFO - [info] - Yaw command - Current yaw: 235, Final yaw: 469.7804405151682
2025-04-16 12:32:03 - INFO - [info] - Command sent
2025-04-16 12:32:27 - INFO - [info] - Adjusting velocity - Velocity X: 1, Velocity Y: 0, Altitude: 0
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.263917446136475, 0.22827276587486267
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.263917446136475, 0.22827276587486267
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.263091564178467, 0.2040387988090515
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.263091564178467, 0.2040387988090515
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.22731876373291, 0.13169032335281372
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.22731876373291, 0.13169032335281372
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.22731876373291, 0.13169032335281372
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.161964416503906, 0.03557019680738449
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.161964416503906, 0.03557019680738449
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.076483726501465, -0.03818805515766144
2025-04-16 12:32:35 - INFO - [info] - Current position: 7.076483726501465, -0.03818805515766144
2025-04-16 12:32:35 - INFO - [info] - Current position: 6.999853134155273, -0.06467904150485992
2025-04-16 12:32:35 - INFO - [info] - Current position: 6.999853134155273, -0.06467904150485992
2025-04-16 12:32:35 - INFO - [info] - Current position: 6.999853134155273, -0.06467904150485992
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.94202184677124, -0.07745455205440521
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.94202184677124, -0.07745455205440521
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.914018154144287, -0.1014917641878128
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.914018154144287, -0.1014917641878128
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.914018154144287, -0.1014917641878128
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.891509056091309, -0.14083942770957947
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.891509056091309, -0.14083942770957947
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.863964080810547, -0.1469724476337433
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.863964080810547, -0.1469724476337433
2025-04-16 12:32:36 - INFO - [info] - Current position: 6.863964080810547, -0.1469724476337433
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.836062908172607, -0.11540143191814423
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.836062908172607, -0.11540143191814423
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.822300910949707, -0.05629103630781174
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.822300910949707, -0.05629103630781174
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.822300910949707, -0.05629103630781174
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.815494060516357, 0.029261969029903412
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.815494060516357, 0.029261969029903412
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.771582126617432, 0.09858746826648712
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.771582126617432, 0.09858746826648712
2025-04-16 12:32:37 - INFO - [info] - Current position: 6.771582126617432, 0.09858746826648712
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.6816630363464355, 0.1588084101676941
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.6816630363464355, 0.1588084101676941
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.593596935272217, 0.22052514553070068
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.593596935272217, 0.22052514553070068
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.515381813049316, 0.2941041588783264
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.515381813049316, 0.2941041588783264
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.515381813049316, 0.2941041588783264
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.475344657897949, 0.3541768789291382
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.475344657897949, 0.3541768789291382
2025-04-16 12:32:38 - INFO - [info] - Current position: 6.464934349060059, 0.38553839921951294
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.464934349060059, 0.38553839921951294
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.464934349060059, 0.38553839921951294
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.488772392272949, 0.36613234877586365
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.488772392272949, 0.36613234877586365
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.553049564361572, 0.29754307866096497
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.553049564361572, 0.29754307866096497
