1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:32 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:32 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:32 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:32 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:32 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:34 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:34 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:35 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:35 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:35 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:36 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:36 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:36 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:36 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:37 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:38 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:38 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:38 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:39 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:39 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:39 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:40 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:40 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:40 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:41 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:42 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:42 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:42 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:42 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:44 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:44 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:44 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:45 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:45 - INFO - [info] - Obstacle detected.
